POINT_X,POINT_Y,Northing,Easting,CellName,Temp_Label,region_n_1,Shape_Leng,Shape_Area,Region,ID,Abbrev
-122.25770740400,37.87324447660,"56","57","N-56 , E-57",LED-74,Region 3,8029.80919877000,1499134.53181999992,Region 3,LED-74,LED
-122.25770740400,37.87324447660,"56","57","N-56 , E-57",LED-74,Region 3,8029.80919877000,1499134.53181999992,Region 3,LED-74,LED
-122.26000545100,37.87322072880,"56","50","N-56 , E-50",LED-614,Region 3,8029.80919877000,1499134.53181999992,Region 3,LED-614,LED
-122.26000545100,37.87322072880,"56","50","N-56 , E-50",LED-614,Region 3,8029.80919877000,1499134.53181999992,Region 3,LED-614,LED
-122.25673480300,37.87327240890,"56","60","N-56 , E-60",LED-166,Region 2,4932.63260294000,808698.78231699998,Region 2,LED-166,LED
-122.25673480300,37.87327240890,"56","60","N-56 , E-60",LED-166,Region 2,4932.63260294000,808698.78231699998,Region 2,LED-166,LED
-122.26298489800,37.87319320870,"57","42","N-57 , E-42",LED-912,Region 5,8503.75566012000,1800889.11036999989,Region 5,LED-912,LED
-122.26298489800,37.87319320870,"57","42","N-57 , E-42",LED-912,Region 5,8503.75566012000,1800889.11036999989,Region 5,LED-912,LED
-122.26389714700,37.87317973340,"57","39","N-57 , E-39",LED-245,Region 5,8503.75566012000,1800889.11036999989,Region 5,LED-245,LED
-122.26389714700,37.87317973340,"57","39","N-57 , E-39",LED-245,Region 5,8503.75566012000,1800889.11036999989,Region 5,LED-245,LED
-122.26089389800,37.87322589100,"57","48","N-57 , E-48",LED-694,Region 3,8029.80919877000,1499134.53181999992,Region 3,LED-694,LED
-122.26089389800,37.87322589100,"57","48","N-57 , E-48",LED-694,Region 3,8029.80919877000,1499134.53181999992,Region 3,LED-694,LED
-122.25541184400,37.87331966790,"57","64","N-57 , E-64",LED-269,Region 2,4932.63260294000,808698.78231699998,Region 2,LED-269,LED
-122.25541184400,37.87331966790,"57","64","N-57 , E-64",LED-269,Region 2,4932.63260294000,808698.78231699998,Region 2,LED-269,LED
-122.25794188000,37.87328212880,"57","56","N-57 , E-56",LED-597,Region 3,8029.80919877000,1499134.53181999992,Region 3,LED-597,LED
-122.25794188000,37.87328212880,"57","56","N-57 , E-56",LED-597,Region 3,8029.80919877000,1499134.53181999992,Region 3,LED-597,LED
-122.26315619900,37.87320552140,"57","41","N-57 , E-41",LED-909,Region 5,8503.75566012000,1800889.11036999989,Region 5,LED-909,LED
-122.26315619900,37.87320552140,"57","41","N-57 , E-41",LED-909,Region 5,8503.75566012000,1800889.11036999989,Region 5,LED-909,LED
-122.25523916700,37.87332540040,"57","64","N-57 , E-64",LED-271,Region 2,4932.63260294000,808698.78231699998,Region 2,LED-271,LED
-122.25523916700,37.87332540040,"57","64","N-57 , E-64",LED-271,Region 2,4932.63260294000,808698.78231699998,Region 2,LED-271,LED
-122.26132330900,37.87324068030,"57","47","N-57 , E-47",LED-673,Region 5,8503.75566012000,1800889.11036999989,Region 5,LED-673,LED
-122.26132330900,37.87324068030,"57","47","N-57 , E-47",LED-673,Region 5,8503.75566012000,1800889.11036999989,Region 5,LED-673,LED
-122.26073389500,37.87325141790,"57","48","N-57 , E-48",LED-753,Region 3,8029.80919877000,1499134.53181999992,Region 3,LED-753,LED
-122.26073389500,37.87325141790,"57","48","N-57 , E-48",LED-753,Region 3,8029.80919877000,1499134.53181999992,Region 3,LED-753,LED
-122.26357245600,37.87321677170,"57","40","N-57 , E-40",LED-511,Region 5,8503.75566012000,1800889.11036999989,Region 5,LED-511,LED
-122.26357245600,37.87321677170,"57","40","N-57 , E-40",LED-511,Region 5,8503.75566012000,1800889.11036999989,Region 5,LED-511,LED
-122.26040399600,37.87326460090,"57","49","N-57 , E-49",LED-684,Region 3,8029.80919877000,1499134.53181999992,Region 3,LED-684,LED
-122.26040399600,37.87326460090,"57","49","N-57 , E-49",LED-684,Region 3,8029.80919877000,1499134.53181999992,Region 3,LED-684,LED
-122.25743825800,37.87331175040,"57","58","N-57 , E-58",LED-155,Region 3,8029.80919877000,1499134.53181999992,Region 3,LED-155,LED
-122.25743825800,37.87331175040,"57","58","N-57 , E-58",LED-155,Region 3,8029.80919877000,1499134.53181999992,Region 3,LED-155,LED
-122.25877378800,37.87329314690,"57","54","N-57 , E-54",LED-606,Region 3,8029.80919877000,1499134.53181999992,Region 3,LED-606,LED
-122.25877378800,37.87329314690,"57","54","N-57 , E-54",LED-606,Region 3,8029.80919877000,1499134.53181999992,Region 3,LED-606,LED
-122.26239852900,37.87324395720,"57","43","N-57 , E-43",LED-900,Region 5,8503.75566012000,1800889.11036999989,Region 5,LED-900,LED
-122.26239852900,37.87324395720,"57","43","N-57 , E-43",LED-900,Region 5,8503.75566012000,1800889.11036999989,Region 5,LED-900,LED
-122.26435333400,37.87321476640,"57","38","N-57 , E-38",LED-918,Region 5,8503.75566012000,1800889.11036999989,Region 5,LED-918,LED
-122.26435333400,37.87321476640,"57","38","N-57 , E-38",LED-918,Region 5,8503.75566012000,1800889.11036999989,Region 5,LED-918,LED
-122.25809517600,37.87332558650,"57","56","N-57 , E-56",LED-600,Region 3,8029.80919877000,1499134.53181999992,Region 3,LED-600,LED
-122.25809517600,37.87332558650,"57","56","N-57 , E-56",LED-600,Region 3,8029.80919877000,1499134.53181999992,Region 3,LED-600,LED
-122.26018957300,37.87329692240,"57","50","N-57 , E-50",LED-174,Region 3,8029.80919877000,1499134.53181999992,Region 3,LED-174,LED
-122.26018957300,37.87329692240,"57","50","N-57 , E-50",LED-174,Region 3,8029.80919877000,1499134.53181999992,Region 3,LED-174,LED
-122.26594770700,37.87321188700,"57","33","N-57 , E-33",LED-719,Region 5,8503.75566012000,1800889.11036999989,Region 5,LED-719,LED
-122.26594770700,37.87321188700,"57","33","N-57 , E-33",LED-719,Region 5,8503.75566012000,1800889.11036999989,Region 5,LED-719,LED
-122.25513603200,37.87339313560,"57","64","N-57 , E-64",LED-273,Region 2,4932.63260294000,808698.78231699998,Region 2,LED-273,LED
-122.25513603200,37.87339313560,"57","64","N-57 , E-64",LED-273,Region 2,4932.63260294000,808698.78231699998,Region 2,LED-273,LED
-122.26259499500,37.87328916800,"57","43","N-57 , E-43",LED-12,Region 5,8503.75566012000,1800889.11036999989,Region 5,LED-12,LED
-122.26259499500,37.87328916800,"57","43","N-57 , E-43",LED-12,Region 5,8503.75566012000,1800889.11036999989,Region 5,LED-12,LED
-122.26050422500,37.87332371890,"57","49","N-57 , E-49",LED-755,Region 3,8029.80919877000,1499134.53181999992,Region 3,LED-755,LED
-122.26050422500,37.87332371890,"57","49","N-57 , E-49",LED-755,Region 3,8029.80919877000,1499134.53181999992,Region 3,LED-755,LED
-122.25539536500,37.87340944320,"57","64","N-57 , E-64",LED-268,Region 2,4932.63260294000,808698.78231699998,Region 2,LED-268,LED
-122.25539536500,37.87340944320,"57","64","N-57 , E-64",LED-268,Region 2,4932.63260294000,808698.78231699998,Region 2,LED-268,LED
